지역,연월,평균가격,날짜,기준금리
경기,2013.06,312.2,2013-06-01,2.5
강원,2013.06,152.9,2013-06-01,2.5
충북,2013.06,187.2,2013-06-01,2.5
충남,2013.06,196.6,2013-06-01,2.5
전북,2013.06,170.1,2013-06-01,2.5
전남,2013.06,146.0,2013-06-01,2.5
경북,2013.06,162.9,2013-06-01,2.5
경남,2013.06,224.9,2013-06-01,2.5
제주,2013.06,218.0,2013-06-01,2.5
서울,2013.07,507.8,2013-07-01,2.5
도심권,2013.07,610.3,2013-07-01,2.5
동북권,2013.07,425.3,2013-07-01,2.5
동남권,2013.07,770.9,2013-07-01,2.5
서북권,2013.07,480.7,2013-07-01,2.5
서남권,2013.07,464.2,2013-07-01,2.5
부산,2013.07,260.5,2013-07-01,2.5
대구,2013.07,242.7,2013-07-01,2.5
인천,2013.07,264.1,2013-07-01,2.5
광주,2013.07,193.7,2013-07-01,2.5
대전,2013.07,238.0,2013-07-01,2.5
울산,2013.07,247.8,2013-07-01,2.5
경기,2013.07,309.3,2013-07-01,2.5
강원,2013.07,155.8,2013-07-01,2.5
충북,2013.07,197.4,2013-07-01,2.5
충남,2013.07,201.4,2013-07-01,2.5
전북,2013.07,171.9,2013-07-01,2.5
전남,2013.07,144.8,2013-07-01,2.5
경북,2013.07,165.4,2013-07-01,2.5
경남,2013.07,224.1,2013-07-01,2.5
제주,2013.07,213.4,2013-07-01,2.5
서울,2013.08,533.8,2013-08-01,2.5
도심권,2013.08,634.4,2013-08-01,2.5
동북권,2013.08,431.7,2013-08-01,2.5
동남권,2013.08,834.8,2013-08-01,2.5
서북권,2013.08,488.2,2013-08-01,2.5
서남권,2013.08,470.6,2013-08-01,2.5
부산,2013.08,264.8,2013-08-01,2.5
대구,2013.08,251.5,2013-08-01,2.5
인천,2013.08,264.4,2013-08-01,2.5
광주,2013.08,195.6,2013-08-01,2.5
대전,2013.08,243.0,2013-08-01,2.5
울산,2013.08,251.0,2013-08-01,2.5
경기,2013.08,323.9,2013-08-01,2.5
강원,2013.08,156.7,2013-08-01,2.5
충북,2013.08,196.0,2013-08-01,2.5
충남,2013.08,205.7,2013-08-01,2.5
전북,2013.08,172.0,2013-08-01,2.5
전남,2013.08,146.1,2013-08-01,2.5
경북,2013.08,169.2,2013-08-01,2.5
경남,2013.08,233.9,2013-08-01,2.5
제주,2013.08,204.9,2013-08-01,2.5
서울,2013.09,534.9,2013-09-01,2.5
도심권,2013.09,624.6,2013-09-01,2.5
동북권,2013.09,437.5,2013-09-01,2.5
동남권,2013.09,800.3,2013-09-01,2.5
서북권,2013.09,499.1,2013-09-01,2.5
서남권,2013.09,482.6,2013-09-01,2.5
부산,2013.09,264.2,2013-09-01,2.5
대구,2013.09,257.8,2013-09-01,2.5
인천,2013.09,267.1,2013-09-01,2.5
광주,2013.09,193.9,2013-09-01,2.5
대전,2013.09,248.2,2013-09-01,2.5
울산,2013.09,259.3,2013-09-01,2.5
경기,2013.09,331.8,2013-09-01,2.5
강원,2013.09,161.9,2013-09-01,2.5
충북,2013.09,201.8,2013-09-01,2.5
충남,2013.09,210.0,2013-09-01,2.5
전북,2013.09,175.6,2013-09-01,2.5
전남,2013.09,150.7,2013-09-01,2.5
경북,2013.09,171.7,2013-09-01,2.5
경남,2013.09,242.6,2013-09-01,2.5
제주,2013.09,220.2,2013-09-01,2.5
서울,2013.11,569.3,2013-11-01,2.5
도심권,2013.11,663.0,2013-11-01,2.5
동북권,2013.11,445.3,2013-11-01,2.5
동남권,2013.11,849.8,2013-11-01,2.5
서북권,2013.11,496.5,2013-11-01,2.5
서남권,2013.11,490.6,2013-11-01,2.5
부산,2013.11,270.1,2013-11-01,2.5
대구,2013.11,267.3,2013-11-01,2.5
인천,2013.11,272.2,2013-11-01,2.5
광주,2013.11,200.6,2013-11-01,2.5
대전,2013.11,253.5,2013-11-01,2.5
울산,2013.11,259.5,2013-11-01,2.5
경기,2013.11,329.9,2013-11-01,2.5
강원,2013.11,161.2,2013-11-01,2.5
충북,2013.11,201.5,2013-11-01,2.5
충남,2013.11,219.1,2013-11-01,2.5
전북,2013.11,177.5,2013-11-01,2.5
전남,2013.11,149.8,2013-11-01,2.5
경북,2013.11,176.4,2013-11-01,2.5
경남,2013.11,238.6,2013-11-01,2.5
제주,2013.11,224.5,2013-11-01,2.5
서울,2013.12,603.9,2013-12-01,2.5
도심권,2013.12,665.8,2013-12-01,2.5
동북권,2013.12,454.7,2013-12-01,2.5
동남권,2013.12,886.4,2013-12-01,2.5
서북권,2013.12,503.6,2013-12-01,2.5
서남권,2013.12,494.6,2013-12-01,2.5
부산,2013.12,269.7,2013-12-01,2.5
대구,2013.12,265.8,2013-12-01,2.5
인천,2013.12,274.8,2013-12-01,2.5
광주,2013.12,204.6,2013-12-01,2.5
대전,2013.12,256.5,2013-12-01,2.5
울산,2013.12,255.6,2013-12-01,2.5
경기,2013.12,340.1,2013-12-01,2.5
강원,2013.12,161.6,2013-12-01,2.5
충북,2013.12,202.0,2013-12-01,2.5
충남,2013.12,211.3,2013-12-01,2.5
전북,2013.12,174.6,2013-12-01,2.5
전남,2013.12,148.5,2013-12-01,2.5
경북,2013.12,175.6,2013-12-01,2.5
경남,2013.12,243.4,2013-12-01,2.5
제주,2013.12,223.5,2013-12-01,2.5
서울,2014.01,588.9,2014-01-01,2.5
도심권,2014.01,658.9,2014-01-01,2.5
동북권,2014.01,459.5,2014-01-01,2.5
동남권,2014.01,864.3,2014-01-01,2.5
서북권,2014.01,505.1,2014-01-01,2.5
서남권,2014.01,501.0,2014-01-01,2.5
부산,2014.01,274.1,2014-01-01,2.5
대구,2014.01,269.9,2014-01-01,2.5
인천,2014.01,274.1,2014-01-01,2.5
광주,2014.01,203.0,2014-01-01,2.5
대전,2014.01,253.6,2014-01-01,2.5
울산,2014.01,258.8,2014-01-01,2.5
경기,2014.01,343.7,2014-01-01,2.5
강원,2014.01,164.4,2014-01-01,2.5
충북,2014.01,205.2,2014-01-01,2.5
충남,2014.01,213.4,2014-01-01,2.5
전북,2014.01,182.5,2014-01-01,2.5
전남,2014.01,148.8,2014-01-01,2.5
경북,2014.01,175.5,2014-01-01,2.5
경남,2014.01,239.6,2014-01-01,2.5
제주,2014.01,223.2,2014-01-01,2.5
서울,2014.1,580.3,2014-01-01,2.5
도심권,2014.1,670.9,2014-01-01,2.5
동북권,2014.1,467.6,2014-01-01,2.5
동남권,2014.1,861.3,2014-01-01,2.5
서북권,2014.1,532.7,2014-01-01,2.5
서남권,2014.1,502.8,2014-01-01,2.5
부산,2014.1,281.3,2014-01-01,2.5
대구,2014.1,296.4,2014-01-01,2.5
인천,2014.1,281.9,2014-01-01,2.5
광주,2014.1,218.6,2014-01-01,2.5
대전,2014.1,255.8,2014-01-01,2.5
울산,2014.1,272.2,2014-01-01,2.5
경기,2014.1,340.8,2014-01-01,2.5
강원,2014.1,161.6,2014-01-01,2.5
충북,2014.1,219.3,2014-01-01,2.5
충남,2014.1,215.5,2014-01-01,2.5
전북,2014.1,179.6,2014-01-01,2.5
전남,2014.1,154.0,2014-01-01,2.5
경북,2014.1,188.1,2014-01-01,2.5
경남,2014.1,252.3,2014-01-01,2.5
제주,2014.1,253.8,2014-01-01,2.5
서울,2014.02,576.6,2014-02-01,2.5
도심권,2014.02,653.0,2014-02-01,2.5
동북권,2014.02,456.6,2014-02-01,2.5
동남권,2014.02,838.9,2014-02-01,2.5
서북권,2014.02,519.8,2014-02-01,2.5
서남권,2014.02,504.7,2014-02-01,2.5
부산,2014.02,271.8,2014-02-01,2.5
대구,2014.02,266.3,2014-02-01,2.5
인천,2014.02,272.2,2014-02-01,2.5
광주,2014.02,205.4,2014-02-01,2.5
대전,2014.02,247.7,2014-02-01,2.5
울산,2014.02,261.8,2014-02-01,2.5
경기,2014.02,338.4,2014-02-01,2.5
강원,2014.02,164.6,2014-02-01,2.5
충북,2014.02,204.3,2014-02-01,2.5
충남,2014.02,213.7,2014-02-01,2.5
전북,2014.02,175.4,2014-02-01,2.5
전남,2014.02,151.6,2014-02-01,2.5
경북,2014.02,177.0,2014-02-01,2.5
경남,2014.02,243.8,2014-02-01,2.5
제주,2014.02,221.9,2014-02-01,2.5
서울,2014.03,548.8,2014-03-01,2.5
도심권,2014.03,640.4,2014-03-01,2.5
동북권,2014.03,453.2,2014-03-01,2.5
동남권,2014.03,806.6,2014-03-01,2.5
서북권,2014.03,495.3,2014-03-01,2.5
서남권,2014.03,486.8,2014-03-01,2.5
부산,2014.03,274.9,2014-03-01,2.5
대구,2014.03,269.8,2014-03-01,2.5
인천,2014.03,269.8,2014-03-01,2.5
광주,2014.03,203.5,2014-03-01,2.5
대전,2014.03,248.2,2014-03-01,2.5
울산,2014.03,264.3,2014-03-01,2.5
경기,2014.03,328.6,2014-03-01,2.5
강원,2014.03,156.8,2014-03-01,2.5
충북,2014.03,207.2,2014-03-01,2.5
충남,2014.03,209.1,2014-03-01,2.5
전북,2014.03,172.9,2014-03-01,2.5
전남,2014.03,148.3,2014-03-01,2.5
경북,2014.03,175.0,2014-03-01,2.5
경남,2014.03,246.2,2014-03-01,2.5
제주,2014.03,223.9,2014-03-01,2.5
서울,2014.04,553.4,2014-04-01,2.5
도심권,2014.04,660.9,2014-04-01,2.5
동북권,2014.04,454.4,2014-04-01,2.5
동남권,2014.04,843.1,2014-04-01,2.5
서북권,2014.04,504.3,2014-04-01,2.5
서남권,2014.04,489.4,2014-04-01,2.5
부산,2014.04,269.8,2014-04-01,2.5
대구,2014.04,269.0,2014-04-01,2.5
인천,2014.04,268.9,2014-04-01,2.5
광주,2014.04,203.6,2014-04-01,2.5
대전,2014.04,247.6,2014-04-01,2.5
울산,2014.04,263.9,2014-04-01,2.5
경기,2014.04,325.8,2014-04-01,2.5
강원,2014.04,157.6,2014-04-01,2.5
충북,2014.04,202.1,2014-04-01,2.5
충남,2014.04,207.4,2014-04-01,2.5
전북,2014.04,172.8,2014-04-01,2.5
전남,2014.04,149.1,2014-04-01,2.5
경북,2014.04,179.3,2014-04-01,2.5
경남,2014.04,242.9,2014-04-01,2.5
제주,2014.04,219.9,2014-04-01,2.5
서울,2014.05,558.3,2014-05-01,2.5
도심권,2014.05,620.1,2014-05-01,2.5
동북권,2014.05,450.3,2014-05-01,2.5
동남권,2014.05,846.0,2014-05-01,2.5
서북권,2014.05,510.1,2014-05-01,2.5
서남권,2014.05,491.0,2014-05-01,2.5
부산,2014.05,270.6,2014-05-01,2.5
대구,2014.05,272.3,2014-05-01,2.5
인천,2014.05,271.0,2014-05-01,2.5
광주,2014.05,204.4,2014-05-01,2.5
대전,2014.05,249.3,2014-05-01,2.5
울산,2014.05,268.6,2014-05-01,2.5
경기,2014.05,327.7,2014-05-01,2.5
강원,2014.05,158.1,2014-05-01,2.5
충북,2014.05,207.9,2014-05-01,2.5
충남,2014.05,210.5,2014-05-01,2.5
전북,2014.05,170.0,2014-05-01,2.5
전남,2014.05,150.4,2014-05-01,2.5
경북,2014.05,179.1,2014-05-01,2.5
경남,2014.05,243.4,2014-05-01,2.5
제주,2014.05,232.3,2014-05-01,2.5
서울,2014.06,567.6,2014-06-01,2.5
도심권,2014.06,660.1,2014-06-01,2.5
동북권,2014.06,450.4,2014-06-01,2.5
동남권,2014.06,863.5,2014-06-01,2.5
서북권,2014.06,502.1,2014-06-01,2.5
서남권,2014.06,497.5,2014-06-01,2.5
부산,2014.06,271.7,2014-06-01,2.5
대구,2014.06,279.7,2014-06-01,2.5
인천,2014.06,274.8,2014-06-01,2.5
광주,2014.06,206.0,2014-06-01,2.5
대전,2014.06,247.5,2014-06-01,2.5
울산,2014.06,268.2,2014-06-01,2.5
경기,2014.06,333.5,2014-06-01,2.5
강원,2014.06,158.3,2014-06-01,2.5
충북,2014.06,206.1,2014-06-01,2.5
충남,2014.06,212.5,2014-06-01,2.5
전북,2014.06,173.6,2014-06-01,2.5
전남,2014.06,153.6,2014-06-01,2.5
경북,2014.06,178.7,2014-06-01,2.5
경남,2014.06,247.2,2014-06-01,2.5
제주,2014.06,241.0,2014-06-01,2.5
서울,2014.07,583.0,2014-07-01,2.5
도심권,2014.07,662.6,2014-07-01,2.5
동북권,2014.07,452.9,2014-07-01,2.5
동남권,2014.07,866.2,2014-07-01,2.5
서북권,2014.07,518.1,2014-07-01,2.5
서남권,2014.07,498.4,2014-07-01,2.5
부산,2014.07,277.3,2014-07-01,2.5
대구,2014.07,282.4,2014-07-01,2.5
인천,2014.07,279.8,2014-07-01,2.5
광주,2014.07,213.4,2014-07-01,2.5
대전,2014.07,246.1,2014-07-01,2.5
울산,2014.07,268.7,2014-07-01,2.5
경기,2014.07,339.7,2014-07-01,2.5
강원,2014.07,158.6,2014-07-01,2.5
충북,2014.07,208.1,2014-07-01,2.5
충남,2014.07,220.2,2014-07-01,2.5
전북,2014.07,172.4,2014-07-01,2.5
전남,2014.07,149.8,2014-07-01,2.5
경북,2014.07,179.7,2014-07-01,2.5
경남,2014.07,250.9,2014-07-01,2.5
제주,2014.07,235.3,2014-07-01,2.5
서울,2014.08,593.3,2014-08-01,2.25
도심권,2014.08,673.7,2014-08-01,2.25
동북권,2014.08,463.7,2014-08-01,2.25
동남권,2014.08,872.3,2014-08-01,2.25
서북권,2014.08,531.1,2014-08-01,2.25
서남권,2014.08,505.0,2014-08-01,2.25
부산,2014.08,280.4,2014-08-01,2.25
대구,2014.08,287.6,2014-08-01,2.25
인천,2014.08,277.6,2014-08-01,2.25
광주,2014.08,216.7,2014-08-01,2.25
대전,2014.08,249.7,2014-08-01,2.25
울산,2014.08,269.2,2014-08-01,2.25
경기,2014.08,345.2,2014-08-01,2.25
강원,2014.08,162.4,2014-08-01,2.25
충북,2014.08,213.1,2014-08-01,2.25
충남,2014.08,214.3,2014-08-01,2.25
전북,2014.08,177.2,2014-08-01,2.25
전남,2014.08,151.9,2014-08-01,2.25
경북,2014.08,186.5,2014-08-01,2.25
경남,2014.08,249.5,2014-08-01,2.25
제주,2014.08,236.7,2014-08-01,2.25
서울,2014.09,583.0,2014-09-01,2.25
도심권,2014.09,659.1,2014-09-01,2.25
동북권,2014.09,460.0,2014-09-01,2.25
동남권,2014.09,869.2,2014-09-01,2.25
서북권,2014.09,520.8,2014-09-01,2.25
서남권,2014.09,516.6,2014-09-01,2.25
부산,2014.09,280.9,2014-09-01,2.25
대구,2014.09,288.8,2014-09-01,2.25
인천,2014.09,279.0,2014-09-01,2.25
광주,2014.09,219.4,2014-09-01,2.25
대전,2014.09,250.9,2014-09-01,2.25
울산,2014.09,271.9,2014-09-01,2.25
경기,2014.09,345.3,2014-09-01,2.25
강원,2014.09,159.7,2014-09-01,2.25
충북,2014.09,211.8,2014-09-01,2.25
충남,2014.09,217.6,2014-09-01,2.25
전북,2014.09,174.8,2014-09-01,2.25
전남,2014.09,150.6,2014-09-01,2.25
경북,2014.09,188.0,2014-09-01,2.25
경남,2014.09,255.9,2014-09-01,2.25
제주,2014.09,234.5,2014-09-01,2.25
서울,2014.11,567.6,2014-11-01,2.0
도심권,2014.11,653.1,2014-11-01,2.0
동북권,2014.11,473.1,2014-11-01,2.0
동남권,2014.11,836.1,2014-11-01,2.0
서북권,2014.11,528.7,2014-11-01,2.0
서남권,2014.11,499.2,2014-11-01,2.0
부산,2014.11,282.8,2014-11-01,2.0
대구,2014.11,301.9,2014-11-01,2.0
인천,2014.11,289.1,2014-11-01,2.0
광주,2014.11,225.1,2014-11-01,2.0
대전,2014.11,254.7,2014-11-01,2.0
울산,2014.11,275.4,2014-11-01,2.0
경기,2014.11,344.2,2014-11-01,2.0
강원,2014.11,163.2,2014-11-01,2.0
충북,2014.11,216.7,2014-11-01,2.0
충남,2014.11,213.3,2014-11-01,2.0
전북,2014.11,181.5,2014-11-01,2.0
전남,2014.11,156.5,2014-11-01,2.0
경북,2014.11,188.8,2014-11-01,2.0
경남,2014.11,252.7,2014-11-01,2.0
제주,2014.11,244.7,2014-11-01,2.0
서울,2014.12,589.2,2014-12-01,2.0
도심권,2014.12,675.5,2014-12-01,2.0
동북권,2014.12,476.2,2014-12-01,2.0
동남권,2014.12,864.2,2014-12-01,2.0
서북권,2014.12,532.0,2014-12-01,2.0
서남권,2014.12,505.2,2014-12-01,2.0
부산,2014.12,290.3,2014-12-01,2.0
대구,2014.12,305.7,2014-12-01,2.0
인천,2014.12,291.2,2014-12-01,2.0
광주,2014.12,224.0,2014-12-01,2.0
대전,2014.12,255.5,2014-12-01,2.0
울산,2014.12,276.6,2014-12-01,2.0
경기,2014.12,351.1,2014-12-01,2.0
강원,2014.12,159.7,2014-12-01,2.0
충북,2014.12,214.4,2014-12-01,2.0
충남,2014.12,211.0,2014-12-01,2.0
전북,2014.12,185.1,2014-12-01,2.0
전남,2014.12,153.5,2014-12-01,2.0
경북,2014.12,193.0,2014-12-01,2.0
경남,2014.12,246.7,2014-12-01,2.0
제주,2014.12,241.0,2014-12-01,2.0
서울,2015.01,585.2,2015-01-01,2.0
도심권,2015.01,685.1,2015-01-01,2.0
동북권,2015.01,470.1,2015-01-01,2.0
동남권,2015.01,851.7,2015-01-01,2.0
서북권,2015.01,536.8,2015-01-01,2.0
서남권,2015.01,502.6,2015-01-01,2.0
부산,2015.01,289.1,2015-01-01,2.0
대구,2015.01,307.8,2015-01-01,2.0
인천,2015.01,290.7,2015-01-01,2.0
광주,2015.01,223.1,2015-01-01,2.0
대전,2015.01,258.4,2015-01-01,2.0
울산,2015.01,277.7,2015-01-01,2.0
경기,2015.01,350.7,2015-01-01,2.0
강원,2015.01,172.0,2015-01-01,2.0
충북,2015.01,210.9,2015-01-01,2.0
충남,2015.01,212.6,2015-01-01,2.0
전북,2015.01,182.4,2015-01-01,2.0
전남,2015.01,158.5,2015-01-01,2.0
경북,2015.01,192.3,2015-01-01,2.0
경남,2015.01,251.5,2015-01-01,2.0
제주,2015.01,250.8,2015-01-01,2.0
서울,2015.1,644.6,2015-01-01,2.0
도심권,2015.1,739.1,2015-01-01,2.0
동북권,2015.1,508.8,2015-01-01,2.0
동남권,2015.1,964.5,2015-01-01,2.0
서북권,2015.1,578.0,2015-01-01,2.0
서남권,2015.1,560.8,2015-01-01,2.0
부산,2015.1,309.8,2015-01-01,2.0
대구,2015.1,334.9,2015-01-01,2.0
인천,2015.1,317.6,2015-01-01,2.0
광주,2015.1,243.8,2015-01-01,2.0
대전,2015.1,259.9,2015-01-01,2.0
울산,2015.1,301.3,2015-01-01,2.0
경기,2015.1,372.1,2015-01-01,2.0
강원,2015.1,179.0,2015-01-01,2.0
충북,2015.1,209.8,2015-01-01,2.0
충남,2015.1,214.1,2015-01-01,2.0
전북,2015.1,185.5,2015-01-01,2.0
전남,2015.1,165.1,2015-01-01,2.0
경북,2015.1,191.3,2015-01-01,2.0
경남,2015.1,258.9,2015-01-01,2.0
제주,2015.1,357.0,2015-01-01,2.0
서울,2015.02,589.2,2015-02-01,2.0
도심권,2015.02,685.3,2015-02-01,2.0
동북권,2015.02,472.4,2015-02-01,2.0
동남권,2015.02,869.2,2015-02-01,2.0
서북권,2015.02,539.4,2015-02-01,2.0
서남권,2015.02,509.4,2015-02-01,2.0
부산,2015.02,288.7,2015-02-01,2.0
대구,2015.02,309.6,2015-02-01,2.0
인천,2015.02,288.7,2015-02-01,2.0
광주,2015.02,227.8,2015-02-01,2.0
대전,2015.02,255.7,2015-02-01,2.0
울산,2015.02,278.6,2015-02-01,2.0
경기,2015.02,353.6,2015-02-01,2.0
강원,2015.02,165.7,2015-02-01,2.0
충북,2015.02,214.2,2015-02-01,2.0
충남,2015.02,218.7,2015-02-01,2.0
전북,2015.02,182.0,2015-02-01,2.0
전남,2015.02,159.0,2015-02-01,2.0
경북,2015.02,194.4,2015-02-01,2.0
경남,2015.02,249.3,2015-02-01,2.0
제주,2015.02,250.2,2015-02-01,2.0
서울,2015.03,590.8,2015-03-01,1.75
도심권,2015.03,703.6,2015-03-01,1.75
동북권,2015.03,475.6,2015-03-01,1.75
동남권,2015.03,895.9,2015-03-01,1.75
서북권,2015.03,539.5,2015-03-01,1.75
서남권,2015.03,514.2,2015-03-01,1.75
부산,2015.03,290.7,2015-03-01,1.75
대구,2015.03,314.8,2015-03-01,1.75
인천,2015.03,286.5,2015-03-01,1.75
광주,2015.03,224.9,2015-03-01,1.75
대전,2015.03,245.8,2015-03-01,1.75
울산,2015.03,280.0,2015-03-01,1.75
경기,2015.03,352.4,2015-03-01,1.75
강원,2015.03,172.3,2015-03-01,1.75
충북,2015.03,213.3,2015-03-01,1.75
충남,2015.03,214.9,2015-03-01,1.75
전북,2015.03,178.4,2015-03-01,1.75
전남,2015.03,156.5,2015-03-01,1.75
경북,2015.03,194.7,2015-03-01,1.75
경남,2015.03,246.7,2015-03-01,1.75
제주,2015.03,249.7,2015-03-01,1.75
서울,2015.04,601.2,2015-04-01,1.75
도심권,2015.04,720.4,2015-04-01,1.75
동북권,2015.04,475.6,2015-04-01,1.75
동남권,2015.04,918.3,2015-04-01,1.75
서북권,2015.04,544.4,2015-04-01,1.75
서남권,2015.04,522.7,2015-04-01,1.75
부산,2015.04,292.8,2015-04-01,1.75
대구,2015.04,317.3,2015-04-01,1.75
인천,2015.04,288.0,2015-04-01,1.75
광주,2015.04,228.0,2015-04-01,1.75
대전,2015.04,245.5,2015-04-01,1.75
울산,2015.04,279.3,2015-04-01,1.75
경기,2015.04,353.2,2015-04-01,1.75
강원,2015.04,169.8,2015-04-01,1.75
충북,2015.04,206.5,2015-04-01,1.75
충남,2015.04,216.0,2015-04-01,1.75
전북,2015.04,179.9,2015-04-01,1.75
전남,2015.04,156.9,2015-04-01,1.75
경북,2015.04,194.9,2015-04-01,1.75
경남,2015.04,249.6,2015-04-01,1.75
제주,2015.04,271.3,2015-04-01,1.75
서울,2015.05,608.9,2015-05-01,1.75
도심권,2015.05,718.0,2015-05-01,1.75
동북권,2015.05,482.6,2015-05-01,1.75
동남권,2015.05,935.6,2015-05-01,1.75
서북권,2015.05,553.7,2015-05-01,1.75
서남권,2015.05,516.7,2015-05-01,1.75
부산,2015.05,295.1,2015-05-01,1.75
대구,2015.05,323.5,2015-05-01,1.75
인천,2015.05,295.6,2015-05-01,1.75
광주,2015.05,229.8,2015-05-01,1.75
대전,2015.05,249.5,2015-05-01,1.75
울산,2015.05,285.5,2015-05-01,1.75
경기,2015.05,354.6,2015-05-01,1.75
강원,2015.05,171.3,2015-05-01,1.75
충북,2015.05,213.3,2015-05-01,1.75
충남,2015.05,219.7,2015-05-01,1.75
전북,2015.05,180.1,2015-05-01,1.75
전남,2015.05,159.2,2015-05-01,1.75
경북,2015.05,193.3,2015-05-01,1.75
경남,2015.05,252.1,2015-05-01,1.75
제주,2015.05,277.5,2015-05-01,1.75
서울,2015.06,599.6,2015-06-01,1.5
도심권,2015.06,700.6,2015-06-01,1.5
동북권,2015.06,478.3,2015-06-01,1.5
동남권,2015.06,929.0,2015-06-01,1.5
서북권,2015.06,561.6,2015-06-01,1.5
서남권,2015.06,529.3,2015-06-01,1.5
부산,2015.06,294.4,2015-06-01,1.5
대구,2015.06,330.7,2015-06-01,1.5
인천,2015.06,293.4,2015-06-01,1.5
광주,2015.06,232.6,2015-06-01,1.5
대전,2015.06,247.8,2015-06-01,1.5
울산,2015.06,285.3,2015-06-01,1.5
경기,2015.06,358.5,2015-06-01,1.5
강원,2015.06,168.7,2015-06-01,1.5
충북,2015.06,210.9,2015-06-01,1.5
충남,2015.06,214.3,2015-06-01,1.5
전북,2015.06,179.6,2015-06-01,1.5
전남,2015.06,155.6,2015-06-01,1.5
경북,2015.06,195.0,2015-06-01,1.5
경남,2015.06,253.6,2015-06-01,1.5
제주,2015.06,284.1,2015-06-01,1.5
서울,2015.07,604.7,2015-07-01,1.5
도심권,2015.07,708.7,2015-07-01,1.5
동북권,2015.07,487.2,2015-07-01,1.5
동남권,2015.07,924.6,2015-07-01,1.5
서북권,2015.07,554.3,2015-07-01,1.5
서남권,2015.07,531.1,2015-07-01,1.5
부산,2015.07,302.9,2015-07-01,1.5
대구,2015.07,333.8,2015-07-01,1.5
인천,2015.07,300.2,2015-07-01,1.5
광주,2015.07,232.9,2015-07-01,1.5
대전,2015.07,256.6,2015-07-01,1.5
울산,2015.07,290.4,2015-07-01,1.5
경기,2015.07,364.6,2015-07-01,1.5
강원,2015.07,171.5,2015-07-01,1.5
충북,2015.07,205.3,2015-07-01,1.5
충남,2015.07,218.3,2015-07-01,1.5
전북,2015.07,179.6,2015-07-01,1.5
전남,2015.07,157.6,2015-07-01,1.5
경북,2015.07,195.2,2015-07-01,1.5
경남,2015.07,252.1,2015-07-01,1.5
제주,2015.07,307.8,2015-07-01,1.5
서울,2015.08,595.2,2015-08-01,1.5
도심권,2015.08,728.1,2015-08-01,1.5
동북권,2015.08,491.6,2015-08-01,1.5
동남권,2015.08,905.5,2015-08-01,1.5
서북권,2015.08,554.8,2015-08-01,1.5
서남권,2015.08,534.3,2015-08-01,1.5
부산,2015.08,302.9,2015-08-01,1.5
대구,2015.08,330.1,2015-08-01,1.5
인천,2015.08,302.4,2015-08-01,1.5
광주,2015.08,237.7,2015-08-01,1.5
대전,2015.08,256.6,2015-08-01,1.5
울산,2015.08,290.1,2015-08-01,1.5
경기,2015.08,358.3,2015-08-01,1.5
강원,2015.08,177.0,2015-08-01,1.5
충북,2015.08,205.8,2015-08-01,1.5
충남,2015.08,213.1,2015-08-01,1.5
전북,2015.08,179.0,2015-08-01,1.5
전남,2015.08,156.9,2015-08-01,1.5
경북,2015.08,195.0,2015-08-01,1.5
경남,2015.08,249.4,2015-08-01,1.5
제주,2015.08,318.2,2015-08-01,1.5
서울,2015.09,616.5,2015-09-01,1.5
도심권,2015.09,717.9,2015-09-01,1.5
동북권,2015.09,496.8,2015-09-01,1.5
동남권,2015.09,951.6,2015-09-01,1.5
서북권,2015.09,560.9,2015-09-01,1.5
서남권,2015.09,546.3,2015-09-01,1.5
부산,2015.09,306.6,2015-09-01,1.5
대구,2015.09,341.5,2015-09-01,1.5
인천,2015.09,308.6,2015-09-01,1.5
광주,2015.09,245.5,2015-09-01,1.5
대전,2015.09,253.3,2015-09-01,1.5
울산,2015.09,300.1,2015-09-01,1.5
경기,2015.09,370.4,2015-09-01,1.5
강원,2015.09,179.0,2015-09-01,1.5
충북,2015.09,208.8,2015-09-01,1.5
충남,2015.09,212.7,2015-09-01,1.5
전북,2015.09,182.4,2015-09-01,1.5
전남,2015.09,160.9,2015-09-01,1.5
경북,2015.09,195.3,2015-09-01,1.5
경남,2015.09,254.3,2015-09-01,1.5
제주,2015.09,320.7,2015-09-01,1.5
서울,2015.11,666.8,2015-11-01,1.5
도심권,2015.11,760.3,2015-11-01,1.5
동북권,2015.11,516.0,2015-11-01,1.5
동남권,2015.11,981.1,2015-11-01,1.5
서북권,2015.11,574.2,2015-11-01,1.5
서남권,2015.11,570.7,2015-11-01,1.5
부산,2015.11,314.4,2015-11-01,1.5
대구,2015.11,325.4,2015-11-01,1.5
인천,2015.11,322.3,2015-11-01,1.5
광주,2015.11,246.6,2015-11-01,1.5
대전,2015.11,263.5,2015-11-01,1.5
울산,2015.11,305.1,2015-11-01,1.5
경기,2015.11,372.3,2015-11-01,1.5
강원,2015.11,183.5,2015-11-01,1.5
충북,2015.11,206.2,2015-11-01,1.5
충남,2015.11,215.1,2015-11-01,1.5
전북,2015.11,184.4,2015-11-01,1.5
전남,2015.11,163.2,2015-11-01,1.5
경북,2015.11,189.6,2015-11-01,1.5
경남,2015.11,253.3,2015-11-01,1.5
제주,2015.11,345.9,2015-11-01,1.5
서울,2015.12,627.6,2015-12-01,1.5
도심권,2015.12,733.1,2015-12-01,1.5
동북권,2015.12,514.2,2015-12-01,1.5
동남권,2015.12,917.7,2015-12-01,1.5
